id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
649	hyun sook kim (2018)	"<table><tr><td>Authors:</td><td>hyun sook kim; hye-ah yeom</td></tr><tr><td>Title:</td><td>the association between spiritual well-being and burnout in intensive care unit nurses: a descriptive study</td></tr><tr><td>Source:</td><td>intensive & critical care nursing/intensive and critical care nursing, 46, 92-97</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.iccn.2017.11.005	-0.5354	0.0551	5	1	1	74	5.0846	2018	74	5.0846
652	noah b. taylor (2023d)	"<table><tr><td>Authors:</td><td>noah b. taylor</td></tr><tr><td>Title:</td><td>at the intersection of pcs and ers</td></tr><tr><td>Source:</td><td>rethinking peace and conflict studies, 41-61</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-3-031-24315-8_3	-0.3966	-0.0117	8	85	8	0	0	2023	0	0
655	sam spector (2017)	"<table><tr><td>Authors:</td><td>sam spector; james higham; adam doering</td></tr><tr><td>Title:</td><td>beyond the biosphere: tourism, outer space, and sustainability</td></tr><tr><td>Source:</td><td>tourism recreation research/tourism recreation research, 42(3), 273-283</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1080/02508281.2017.1286062	-0.4071	0.0427	2	236	31	31	2.0625	2017	31	2.0625
656	apolline taillandier (2021)	"<table><tr><td>Authors:</td><td>apolline taillandier</td></tr><tr><td>Title:</td><td>from boundless expansion to existential threat</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 333-348</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oxfordhb/9780198806820.013.20	-0.3948	-0.0504	2	141	7	0	0	2021	0	0
658	c. guzmán (2024)	"<table><tr><td>Authors:</td><td>c. guzmán</td></tr><tr><td>Title:</td><td>global health in the age of ai: safeguarding humanity through collaboration and action</td></tr><tr><td>Source:</td><td>plos global public health, 4(1), e0002778-e0002778</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1371/journal.pgph.0002778	-0.2269	-0.0095	3	64	1	0	0	2024	0	0
660	robert piciotto (2020)	"<table><tr><td>Authors:</td><td>robert piciotto</td></tr><tr><td>Title:</td><td>the complexity of indigenous evaluation</td></tr><tr><td>Source:</td><td>[no source], 1-15</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.18296/em.0056	-0.5114	0.0506	5	2	3	0	0	2020	0	0
664	karim jebari (2024)	"<table><tr><td>Authors:</td><td>karim jebari; andrea s. asker</td></tr><tr><td>Title:</td><td>saved by the dark forest: how a multitude of extraterrestrial civilizations can prevent a hobbesian trap</td></tr><tr><td>Source:</td><td>the monist/the monist, 107(2), 176-189</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1093/monist/onae006	-0.3378	-0.0134	3	190	22	0	0	2024	0	0
665	yangyang xu (2017)	"<table><tr><td>Authors:</td><td>yangyang xu; v. ramanathan</td></tr><tr><td>Title:</td><td>well below 2 °c: mitigation strategies for avoiding dangerous to catastrophic climate changes</td></tr><tr><td>Source:</td><td>proceedings of the national academy of sciences of the united states of america, 114(39), 10315-10323</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1073/pnas.1618481114	-0.4342	0.0873	2	42	16	142	9.4475	2017	142	9.4475
666	asaf tzachor (2020)	"<table><tr><td>Authors:</td><td>asaf tzachor; jess whittlestone; lalitha sundaram; seán ó héigeartaigh</td></tr><tr><td>Title:</td><td>artificial intelligence in a crisis needs ethics with urgency</td></tr><tr><td>Source:</td><td>nature machine intelligence, 2(7), 365-366</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1038/s42256-020-0195-0	-0.4525	-0.0596	5	2	2	40	3.0095	2020	40	3.0095
668	wendell wallach (2011)	"<table><tr><td>Authors:</td><td>wendell wallach</td></tr><tr><td>Title:</td><td>from robots to techno sapiens: ethics, law and public policy in the development of robotics and neurotechnologies</td></tr><tr><td>Source:</td><td>law, innovation and technology, 3(2), 185-207</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/https://doi.org/10.5235/175799611798204888	-0.3828	-0.0493	1	27	7	18	0.2941	2011	18	0.2941
669	bing song (2023)	"<table><tr><td>Authors:</td><td>bing song</td></tr><tr><td>Title:</td><td>how chinese philosophy impacts ai narratives and imagined ai futures</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 338-352</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780192865366.003.0021	-0.4202	-0.0839	1	2	3	0	0	2023	0	0
671	trond arne undheim (2023)	<table><tr><td>Authors:</td><td>trond arne undheim</td></tr><tr><td>Title:</td><td>in search of better methods for the longitudinal assessment of tech-derived x-risks: how five leading scenario planning efforts can help</td></tr><tr><td>Source:</td><td>[no source]</td></tr><tr><td>Year:</td><td>2023</td></tr></table>	https://doi.org/https://doi.org/10.2139/ssrn.4678513	-0.347	0.0329	21	305	52	0	0	2023	0	0
674	izzy gainsburg (2021)	"<table><tr><td>Authors:</td><td>izzy gainsburg; shiva pauer; abboub nawal; eamon t. aloyo; jean-christophe mourrat; alejandrina cristià</td></tr><tr><td>Title:</td><td>how effective altruism can help psychologists maximize their impact</td></tr><tr><td>Source:</td><td>[no source]</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.31234/osf.io/8dw59	-0.5098	-0.023	6	19	13	3	0.3921	2021	3	0.3921
676	ilan noy (2022)	"<table><tr><td>Authors:</td><td>ilan noy; tomáš uher</td></tr><tr><td>Title:</td><td>four new horsemen of an apocalypse? solar flares, super-volcanoes, pandemics, and artificial intelligence</td></tr><tr><td>Source:</td><td>economics of disasters and climate change, 6(2), 393-416</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s41885-022-00105-x	-0.3769	0.0413	11	376	69	4	1.0041	2022	4	1.0041
678	amos drory (2010)	"<table><tr><td>Authors:</td><td>amos drory; eran vigoda‐gadot</td></tr><tr><td>Title:</td><td>organizational politics and human resource management: a typology and the israeli experience</td></tr><tr><td>Source:</td><td>human resource management review, 20(3), 194-202</td></tr><tr><td>Year:</td><td>2010</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.hrmr.2009.08.005	-0.9412	-0.2221	14	1	3	122	10.2248	2010	122	10.2248
682	michael w. cannon (2022)	"<table><tr><td>Authors:</td><td>michael w. cannon</td></tr><tr><td>Title:</td><td>an enactive approach to value alignment in artificial intelligence: a matter of relevance</td></tr><tr><td>Source:</td><td>studies in applied philosophy, epistemology and rational ethics, 119-135</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-3-031-09153-7_10	-0.3781	-0.0739	1	52	11	0	0	2022	0	0
683	charles s. cockell (2022)	"<table><tr><td>Authors:</td><td>charles s. cockell</td></tr><tr><td>Title:</td><td>dissent and welfare</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 190-222</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780192866240.003.0004	-0.3859	-0.0089	3	45	41	0	0	2022	0	0
685	susanne c. moser (2014)	"<table><tr><td>Authors:</td><td>susanne c. moser</td></tr><tr><td>Title:</td><td>communicating adaptation to climate change: the art and science of public engagement when climate change comes home</td></tr><tr><td>Source:</td><td>wiley interdisciplinary reviews. climate change, 5(3), 337-358</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1002/wcc.276	-0.4679	0.0462	2	32	28	194	9.772	2014	194	9.772
686	tom hobson (2023b)	"<table><tr><td>Authors:</td><td>tom hobson; olaf corry</td></tr><tr><td>Title:</td><td>existential security: safeguarding humanity or globalising power?</td></tr><tr><td>Source:</td><td>global policy, 14(4), 633-637</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1111/1758-5899.13287	-0.3779	0.0096	2	182	11	0	0	2023	0	0
687	felix eggers (2011)	"<table><tr><td>Authors:</td><td>felix eggers; fabian eggers</td></tr><tr><td>Title:</td><td>where have all the flowers gone? forecasting green trends in the automobile industry with a choice-based conjoint adoption model</td></tr><tr><td>Source:</td><td>technological forecasting & social change/technological forecasting and social change, 78(1), 51-62</td></tr><tr><td>Year:</td><td>2011</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.techfore.2010.06.014	-0.5421	-0.0474	4	5	4	136	2.2225	2011	136	2.2225
688	claus dierksmeier (2016)	"<table><tr><td>Authors:</td><td>claus dierksmeier; peter seele</td></tr><tr><td>Title:</td><td>cryptocurrencies and business ethics</td></tr><tr><td>Source:</td><td>journal of business ethics, 152(1), 1-14</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10551-016-3298-0	-0.5039	-0.182	18	1	1	154	7.2978	2016	154	7.2978
689	roman v. yampolskiy (2019)	"<table><tr><td>Authors:</td><td>roman v. yampolskiy</td></tr><tr><td>Title:</td><td>predicting future ai failures from historic examples</td></tr><tr><td>Source:</td><td>foresight, 21(1), 138-152</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1108/fs-04-2018-0034	-0.3869	-0.0882	1	36	10	36	3.1264	2019	36	3.1264
690	noah b. taylor (2023e)	"<table><tr><td>Authors:</td><td>noah b. taylor</td></tr><tr><td>Title:</td><td>totalitarianism risk and peace</td></tr><tr><td>Source:</td><td>rethinking peace and conflict studies, 191-204</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-3-031-24315-8_8	-0.3627	-0.0092	6	175	8	0	0	2023	0	0
694	mark jablonowski (2012)	<table><tr><td>Authors:</td><td>mark jablonowski</td></tr><tr><td>Title:</td><td>surviving progress: managing the collective risks of civilization</td></tr><tr><td>Source:</td><td>social science research network</td></tr><tr><td>Year:</td><td>2012</td></tr></table>	https://doi.org/https://doi.org/10.2139/ssrn.2163604	-0.3944	0.1202	13	1	4	0	0	2012	0	0
695	vo dao (2023)	"<table><tr><td>Authors:</td><td>vo dao</td></tr><tr><td>Title:</td><td>the climate-security nexus in vietnam: effect on the pathway to sustainable development</td></tr><tr><td>Source:</td><td>the anthropocene: politik - economics - society - science, 347-366</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-3-031-26014-8_16	-0.465	0.0534	2	1	1	0	0	2023	0	0
696	mirja koschorke (2014)	"<table><tr><td>Authors:</td><td>mirja koschorke; padmavati ramachandran; shuba kumar; alex cohen; helen a. weiss; sudipto chatterjee; jesina pereira; smita naik; sujit john; hamid dabholkar; madhumitha balaji; animish chavan; mathew varghese; thara rangaswamy; graham thornicroft; vikram patel</td></tr><tr><td>Title:</td><td>experiences of stigma and discrimination of people with schizophrenia in india</td></tr><tr><td>Source:</td><td>social science & medicine, 123, 149-159</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.socscimed.2014.10.035	-0.8296	-0.1306	15	29	2	130	6.5483	2014	130	6.5483
698	luke glanville (2024)	"<table><tr><td>Authors:</td><td>luke glanville; james pattison</td></tr><tr><td>Title:</td><td>prevention or reaction? on urgency</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 97-117</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780198892335.003.0006	-0.4145	0.0176	18	155	21	0	0	2024	0	0
699	gunnar breivik (2017)	"<table><tr><td>Authors:</td><td>gunnar breivik; trond sand; anders mcdonald sookermany</td></tr><tr><td>Title:</td><td>sensation seeking and risk-taking in the norwegian population</td></tr><tr><td>Source:</td><td>personality and individual differences, 119, 266-272</td></tr><tr><td>Year:</td><td>2017</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.paid.2017.07.039	-0.4905	0.0331	14	8	12	24	1.5968	2017	24	1.5968
701	noah b. taylor (2023f)	"<table><tr><td>Authors:</td><td>noah b. taylor</td></tr><tr><td>Title:</td><td>great powers conflict</td></tr><tr><td>Source:</td><td>rethinking peace and conflict studies, 63-83</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-3-031-24315-8_4	-0.3194	0.0126	3	181	6	0	0	2023	0	0
703	vt padmanabhan (2014)	"<table><tr><td>Authors:</td><td>vt padmanabhan; r. ramesh; v pugazhendi; k sahadevan; raminder kaur; joseph makkolil</td></tr><tr><td>Title:</td><td>the lab in the womb of a whirling worm india based neutrino observatory, shear zone, aquifer and tectonics</td></tr><tr><td>Source:</td><td>vixra</td></tr><tr><td>Year:</td><td>2014</td></tr></table>"		-0.367	0.0092	10	15	1	0	0	2014	0	0
705	trond arne undheim (2024c)	"<table><tr><td>Authors:</td><td>trond arne undheim</td></tr><tr><td>Title:</td><td>in search of better methods for the longitudinal assessment of tech-derived x-risks: how five leading scenario planning efforts can help</td></tr><tr><td>Source:</td><td>technology in society, 102505-102505</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.techsoc.2024.102505	-0.3448	0.0162	21	393	90	0	0	2024	0	0
709	benjamin topper (2013)	"<table><tr><td>Authors:</td><td>benjamin topper; patrick lagadec</td></tr><tr><td>Title:</td><td>fractal crises - a new path for crisis theory and management</td></tr><tr><td>Source:</td><td>journal of contingencies and crisis management, 21(1), 4-16</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1111/1468-5973.12008	-0.3855	0.0174	12	151	15	64	1.9609	2013	64	1.9609
710	elizabeth finneron‐burns (2024)	"<table><tr><td>Authors:</td><td>elizabeth finneron‐burns</td></tr><tr><td>Title:</td><td>what <i>do</i> we owe to future people?</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 183-198</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780197653258.003.0008	-0.3769	0.0025	3	91	26	0	0	2024	0	0
712	ian crawford (2022a)	"<table><tr><td>Authors:</td><td>ian crawford</td></tr><tr><td>Title:</td><td>brightening the skies</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 119-139</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780192897985.003.0010	-0.4097	0.0057	3	39	19	0	0	2022	0	0
714	avi goldfarb (2024)	"<table><tr><td>Authors:</td><td>avi goldfarb</td></tr><tr><td>Title:</td><td>pause artificial intelligence research? understanding <scp>ai</scp> policy challenges</td></tr><tr><td>Source:</td><td>canadian journal of economics, 57(2), 363-377</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/https://doi.org/10.1111/caje.12705	-0.3976	-0.09	1	48	19	0	0	2024	0	0
716	joana castro pereira (2018)	"<table><tr><td>Authors:</td><td>joana castro pereira; eduardo viola</td></tr><tr><td>Title:</td><td>catastrophic climate change and forest tipping points: blind spots in international politics and policy</td></tr><tr><td>Source:</td><td>global policy, 9(4), 513-524</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1111/1758-5899.12578	-0.4162	0.0372	2	288	25	17	1.1681	2018	17	1.1681
717	r. daniel kelemen (2019)	"<table><tr><td>Authors:</td><td>r. daniel kelemen</td></tr><tr><td>Title:</td><td>is differentiation possible in rule of law?</td></tr><tr><td>Source:</td><td>comparative european politics, 17(2), 246-260</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1057/s41295-019-00162-9	-0.2867	0.0789	20	2	2	94	8.1634	2019	94	8.1634
718	wim naudé (2019)	"<table><tr><td>Authors:</td><td>wim naudé; nicola dimitri</td></tr><tr><td>Title:</td><td>the race for an artificial general intelligence: implications for public policy</td></tr><tr><td>Source:</td><td>ai & society, 35(2), 367-379</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s00146-019-00887-x	-0.3911	-0.0706	1	265	28	38	3.3001	2019	38	3.3001
720	catherine déchamp-le roux (2019)	<table><tr><td>Authors:</td><td>catherine déchamp-le roux</td></tr><tr><td>Title:</td><td>transhumanism</td></tr><tr><td>Source:</td><td>elsevier ebooks</td></tr><tr><td>Year:</td><td>2019</td></tr></table>	https://doi.org/https://doi.org/10.1016/b978-0-12-801238-3.11333-9	-0.4019	-0.053	9	160	8	0	0	2019	0	0
724	janet mcintyre‐mills (2021e)	"<table><tr><td>Authors:</td><td>janet mcintyre‐mills</td></tr><tr><td>Title:</td><td>executive summary: voices from below in every region for social and environmental justice</td></tr><tr><td>Source:</td><td>contemporary systems thinking, 749-777</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-981-33-6884-2_37	-0.5133	0.0044	6	27	39	0	0	2021	0	0
725	andrew snyder‐beattie (2019b)	"<table><tr><td>Authors:</td><td>andrew snyder‐beattie; toby ord; michael b. bonsall</td></tr><tr><td>Title:</td><td>an upper bound for the background rate of human extinction</td></tr><tr><td>Source:</td><td>scientific reports, 9(1)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1038/s41598-019-47540-7	-0.3597	0.0197	3	221	28	19	1.6501	2019	19	1.6501
726	nicholas kluge corrêa (2020b)	"<table><tr><td>Authors:</td><td>nicholas kluge corrêa; nythamar de oliveira</td></tr><tr><td>Title:</td><td>singularity and coordination problems: pandemic lessons from 2020</td></tr><tr><td>Source:</td><td>social science research network</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.2139/ssrn.3707224	-0.3979	-0.0544	1	276	30	0	0	2020	0	0
729	shaun e. edmonds (2023)	"<table><tr><td>Authors:</td><td>shaun e. edmonds</td></tr><tr><td>Title:</td><td>crossfit and survivalism</td></tr><tr><td>Source:</td><td>[no source], 45-58</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-981-99-6311-9_3	-0.4215	0.2184	29	1	1	0	0	2023	0	0
737	beth singler (2019)	"<table><tr><td>Authors:</td><td>beth singler</td></tr><tr><td>Title:</td><td>existential hope and existential despair in ai apocalypticism and transhumanism</td></tr><tr><td>Source:</td><td>zygon, 54(1), 156-176</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1111/zygo.12494	-0.4674	-0.0729	6	131	6	25	2.1711	2019	25	2.1711
738	konrad szocik (2019b)	"<table><tr><td>Authors:</td><td>konrad szocik</td></tr><tr><td>Title:</td><td>human place in the outer space: skeptical remarks</td></tr><tr><td>Source:</td><td>space and society, 233-252</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-3-030-02059-0_14	-0.3489	-0.0162	3	7	12	16	1.3895	2019	16	1.3895
740	mark jablonowski (2009b)	"<table><tr><td>Authors:</td><td>mark jablonowski</td></tr><tr><td>Title:</td><td>planning for a safer future</td></tr><tr><td>Source:</td><td>palgrave macmillan uk ebooks, 70-84</td></tr><tr><td>Year:</td><td>2009</td></tr></table>"	https://doi.org/https://doi.org/10.1057/9780230251205_5	-0.4426	-0.0048	4	6	2	0	0	2009	0	0
741	gissel velarde (2020b)	<table><tr><td>Authors:</td><td>gissel velarde</td></tr><tr><td>Title:</td><td>artificial intelligence and its impact on the fourth industrial revolution: a review</td></tr><tr><td>Source:</td><td>arxiv (cornell university)</td></tr><tr><td>Year:</td><td>2020</td></tr></table>		-0.3854	-0.0776	1	45	10	0	0	2020	0	0
744	peter a. depergola (2019)	"<table><tr><td>Authors:</td><td>peter a. depergola</td></tr><tr><td>Title:</td><td>the bionic brain: pragmatic neuroethics and the moral plausibility of cognitive enhancement</td></tr><tr><td>Source:</td><td>online journal of health ethics, 15(2)</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.18785/ojhe.1502.07	-0.3965	-0.0484	9	3	1	0	0	2019	0	0
747	michael beenstock (2022b)	"<table><tr><td>Authors:</td><td>michael beenstock</td></tr><tr><td>Title:</td><td>fertility decline in the new abnormal?</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 183-201</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780192849663.003.0006	-1.107	0.0949	23	30	120	0	0	2022	0	0
749	alice pavaloiu (2018)	"<table><tr><td>Authors:</td><td>alice pavaloiu</td></tr><tr><td>Title:</td><td>artificial intelligence ethics in biomedical-engineering-oriented problems</td></tr><tr><td>Source:</td><td>advances in bioinformatics and biomedical engineering book series, 219-231</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.4018/978-1-5225-4769-3.ch010	-0.3851	-0.0914	1	170	19	0	0	2018	0	0
750	christopher gyngell (2012)	"<table><tr><td>Authors:</td><td>christopher gyngell</td></tr><tr><td>Title:</td><td>enhancing the species: genetic engineering technologies and human persistence</td></tr><tr><td>Source:</td><td>philosophy & technology, 25(4), 495-512</td></tr><tr><td>Year:</td><td>2012</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s13347-012-0086-3	-0.3904	-0.015	9	17	10	15	0.7028	2012	15	0.7028
751	manu sundaram (2020)	"<table><tr><td>Authors:</td><td>manu sundaram; rohit saxena; m. pons ódena; giovanna chidini; mohammed salameh; rn ashwath ram; utpal bhalala</td></tr><tr><td>Title:</td><td>published guidelines on covid-19: which to follow?</td></tr><tr><td>Source:</td><td>journal of pediatric critical care, 7(7), 65-65</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.4103/jpcc.jpcc_73_20	-0.5976	0.0744	5	2	2	0	0	2020	0	0
752	emma lecavalier (2023)	"<table><tr><td>Authors:</td><td>emma lecavalier; gregory stiles</td></tr><tr><td>Title:</td><td>remembering the scholarship of nathan sears: a forum <i>in memoriam</i></td></tr><tr><td>Source:</td><td>global policy, 14(4), 623-624</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/https://doi.org/10.1111/1758-5899.13285	-0.3524	0.0378	11	2	1	0	0	2023	0	0
753	robin canniford (2013)	"<table><tr><td>Authors:</td><td>robin canniford; avi shankar</td></tr><tr><td>Title:</td><td>purifying practices: how consumers assemble romantic experiences of nature</td></tr><tr><td>Source:</td><td>the journal of consumer research/journal of consumer research, 39(5), 1051-1069</td></tr><tr><td>Year:</td><td>2013</td></tr></table>"	https://doi.org/https://doi.org/10.1086/667202	-0.485	-0.0017	6	4	5	242	7.4148	2013	242	7.4148
755	bruce garvey (2022a)	"<table><tr><td>Authors:</td><td>bruce garvey</td></tr><tr><td>Title:</td><td>scenarios: what are they, why are they useful and how can we best use them?</td></tr><tr><td>Source:</td><td>science, technology and innovation studies, 115-149</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1007/978-3-031-08007-4_7	-0.3219	0.0122	3	167	4	0	0	2022	0	0
756	giles thomson (2018)	"<table><tr><td>Authors:</td><td>giles thomson; peter newman</td></tr><tr><td>Title:</td><td>urban fabrics and urban metabolism – from sustainable to regenerative cities</td></tr><tr><td>Source:</td><td>resources, conservation and recycling, 132, 218-229</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1016/j.resconrec.2017.01.010	-0.4624	0.0942	28	65	23	119	8.1765	2018	119	8.1765
758	kris hartley (2020)	"<table><tr><td>Authors:</td><td>kris hartley; minh khuong vu</td></tr><tr><td>Title:</td><td>fighting fake news in the covid-19 era: policy insights from an equilibrium model</td></tr><tr><td>Source:</td><td>policy sciences, 53(4), 735-758</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s11077-020-09405-z	-0.4695	0.0078	5	25	11	101	7.599	2020	101	7.599
759	michael zürn (2018)	"<table><tr><td>Authors:</td><td>michael zürn</td></tr><tr><td>Title:</td><td>contested global governance</td></tr><tr><td>Source:</td><td>global policy, 9(1), 138-145</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/https://doi.org/10.1111/1758-5899.12521	-0.4734	-0.0065	4	14	13	68	4.6723	2018	68	4.6723
760	alice pavaloiu (2019)	"<table><tr><td>Authors:</td><td>alice pavaloiu</td></tr><tr><td>Title:</td><td>artificial intelligence ethics in biomedical-engineering-oriented problems</td></tr><tr><td>Source:</td><td>igi global ebooks, 1675-1687</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.4018/978-1-5225-8903-7.ch070	-0.3851	-0.0914	1	170	19	0	0	2019	0	0
763	michael beenstock (2022c)	"<table><tr><td>Authors:</td><td>michael beenstock</td></tr><tr><td>Title:</td><td>where macroeconomic theory went wrong</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 32-82</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780192849663.003.0002	-1.123	0.0972	23	30	120	0	0	2022	0	0
764	michael beenstock (2022d)	"<table><tr><td>Authors:</td><td>michael beenstock</td></tr><tr><td>Title:</td><td>the return to normality: ending the new abnormal</td></tr><tr><td>Source:</td><td>oxford university press ebooks, 305-345</td></tr><tr><td>Year:</td><td>2022</td></tr></table>"	https://doi.org/https://doi.org/10.1093/oso/9780192849663.003.0010	-1.123	0.0973	23	30	120	0	0	2022	0	0
765	oliver bettis (2016)	"<table><tr><td>Authors:</td><td>oliver bettis; simon dietz; nick silver</td></tr><tr><td>Title:</td><td>the risk of climate ruin</td></tr><tr><td>Source:</td><td>climatic change, 140(2), 109-118</td></tr><tr><td>Year:</td><td>2016</td></tr></table>"	https://doi.org/https://doi.org/10.1007/s10584-016-1846-3	-0.4179	0.0629	2	81	24	11	0.5213	2016	11	0.5213
766	franz höllinger (2019)	"<table><tr><td>Authors:</td><td>franz höllinger; johanna muckenhuber</td></tr><tr><td>Title:</td><td>religiousness and existential insecurity: a cross-national comparative analysis on the macro- and micro-level</td></tr><tr><td>Source:</td><td>international sociology, 34(1), 19-37</td></tr><tr><td>Year:</td><td>2019</td></tr></table>"	https://doi.org/https://doi.org/10.1177/0268580918812284	-0.5213	-0.0148	8	13	13	25	2.1711	2019	25	2.1711
767	adjo amekudzi-kennedy (2020)	"<table><tr><td>Authors:</td><td>adjo amekudzi-kennedy; samuel labi; brian woodall; mikhail chester; prerna singh</td></tr><tr><td>Title:</td><td>reflections on pandemics, civil infrastructure and sustainable development: five lessons from covid-19 through the lens of transportation</td></tr><tr><td>Source:</td><td>[no source]</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/https://doi.org/10.20944/preprints202004.0047.v1	-0.4503	0.0383	12	8	4	26	1.9562	2020	26	1.9562
